alpha,cost,performance,perf_per_cost,actual_pods,excess_pods,instance_types
0.0,1.0073999999999999,1477291,1466440.2703990473,75,0,"{'c6gd.2xlarge_use1-az6': 6, 'g5g.16xlarge_use1-az4': 3}"
0.01,1.0073999999999999,1477291,1466440.2703990473,75,0,"{'c6gd.2xlarge_use1-az6': 6, 'g5g.16xlarge_use1-az4': 3}"
0.02,1.0073999999999999,1477291,1466440.2703990473,75,0,"{'c6gd.2xlarge_use1-az6': 6, 'g5g.16xlarge_use1-az4': 3}"
0.03,1.0073999999999999,1477291,1466440.2703990473,75,0,"{'c6gd.2xlarge_use1-az6': 6, 'g5g.16xlarge_use1-az4': 3}"
0.04,1.0073999999999999,1477291,1466440.2703990473,75,0,"{'c6gd.2xlarge_use1-az6': 6, 'g5g.16xlarge_use1-az4': 3}"
0.05,1.0073999999999999,1477291,1466440.2703990473,75,0,"{'c6gd.2xlarge_use1-az6': 6, 'g5g.16xlarge_use1-az4': 3}"
0.06,1.0073999999999999,1477291,1466440.2703990473,75,0,"{'c6gd.2xlarge_use1-az6': 6, 'g5g.16xlarge_use1-az4': 3}"
0.07,1.0073999999999999,1477291,1466440.2703990473,75,0,"{'c6gd.2xlarge_use1-az6': 6, 'g5g.16xlarge_use1-az4': 3}"
0.08,1.0073999999999999,1477291,1466440.2703990473,75,0,"{'c6gd.2xlarge_use1-az6': 6, 'g5g.16xlarge_use1-az4': 3}"
0.09,1.0073999999999999,1477291,1466440.2703990473,75,0,"{'c6gd.2xlarge_use1-az6': 6, 'g5g.16xlarge_use1-az4': 3}"
0.1,1.0073999999999999,1477291,1466440.2703990473,75,0,"{'c6gd.2xlarge_use1-az6': 6, 'g5g.16xlarge_use1-az4': 3}"
0.11,1.0073999999999999,1477291,1466440.2703990473,75,0,"{'c6gd.2xlarge_use1-az6': 6, 'g5g.16xlarge_use1-az4': 3}"
0.12,1.0073999999999999,1477291,1466440.2703990473,75,0,"{'c6gd.2xlarge_use1-az6': 6, 'g5g.16xlarge_use1-az4': 3}"
0.13,1.0073999999999999,1477291,1466440.2703990473,75,0,"{'c6gd.2xlarge_use1-az6': 6, 'g5g.16xlarge_use1-az4': 3}"
0.14,1.0073999999999999,1477291,1466440.2703990473,75,0,"{'c6gd.2xlarge_use1-az6': 6, 'g5g.16xlarge_use1-az4': 3}"
0.15,1.0073999999999999,1477291,1466440.2703990473,75,0,"{'c6gd.2xlarge_use1-az6': 6, 'g5g.16xlarge_use1-az4': 3}"
0.16,1.0073999999999999,1477291,1466440.2703990473,75,0,"{'c6gd.2xlarge_use1-az6': 6, 'g5g.16xlarge_use1-az4': 3}"
0.17,1.0976,1654864,1507711.7448979595,84,9,{'g5g.16xlarge_use1-az4': 4}
0.18,1.0976,1654864,1507711.7448979595,84,9,{'g5g.16xlarge_use1-az4': 4}
0.19,1.0976,1654864,1507711.7448979595,84,9,{'g5g.16xlarge_use1-az4': 4}
0.2,1.0976,1654864,1507711.7448979595,84,9,{'g5g.16xlarge_use1-az4': 4}
0.21,2.7439999999999998,4137161,1507711.7448979595,210,135,{'g5g.16xlarge_use1-az4': 10}
0.22,19.036,26879927,1412057.5481718848,1365,1290,"{'c6gd.16xlarge_use1-az4': 25, 'g5g.16xlarge_use1-az4': 10, 'g5g.16xlarge_use1-az6': 30}"
0.23,20.514400000000002,28862292,1406928.4442050462,1429,1354,"{'c6gd.16xlarge_use1-az4': 25, 'g5g.16xlarge_use1-az4': 10, 'g5g.16xlarge_use1-az6': 30, 'm8g.metal-48xl_use1-az4': 1}"
0.24,27.0434,37127319,1372879.134125147,1849,1774,"{'c6gd.12xlarge_use1-az4': 20, 'c6gd.16xlarge_use1-az4': 25, 'c6gd.2xlarge_use1-az6': 50, 'g5g.16xlarge_use1-az4': 10, 'g5g.16xlarge_use1-az6': 30, 'm8g.metal-48xl_use1-az4': 1}"
0.25,134.8351,162700244,1206660.9107702665,6379,6304,"{'c6gd.12xlarge_use1-az4': 20, 'c6gd.16xlarge_use1-az4': 25, 'c6gd.16xlarge_use1-az6': 50, 'c6gd.2xlarge_use1-az2': 50, 'c6gd.2xlarge_use1-az4': 50, 'c6gd.2xlarge_use1-az6': 50, 'c8g.12xlarge_use1-az5': 1, 'c8g.metal-48xl_use1-az1': 1, 'c8g.metal-48xl_use1-az6': 50, 'g5g.16xlarge_use1-az4': 10, 'g5g.16xlarge_use1-az6': 30, 'm8g.metal-48xl_use1-az4': 1}"
0.26,162.00339999999997,193205856,1192603.7163892856,7857,7782,"{'c6gd.12xlarge_use1-az4': 20, 'c6gd.16xlarge_use1-az2': 50, 'c6gd.16xlarge_use1-az4': 25, 'c6gd.16xlarge_use1-az6': 50, 'c6gd.2xlarge_use1-az2': 50, 'c6gd.2xlarge_use1-az4': 50, 'c6gd.2xlarge_use1-az6': 50, 'c8g.12xlarge_use1-az5': 1, 'c8g.metal-48xl_use1-az1': 1, 'c8g.metal-48xl_use1-az2': 1, 'c8g.metal-48xl_use1-az6': 50, 'g5g.16xlarge_use1-az4': 10, 'g5g.16xlarge_use1-az6': 30, 'm8g.metal-48xl_use1-az4': 1, 'r6g.8xlarge_use1-az5': 30, 'r8g.48xlarge_use1-az4': 1}"
0.27,186.6966,219337921,1174836.1853001742,8998,8923,"{'c6gd.12xlarge_use1-az2': 50, 'c6gd.12xlarge_use1-az4': 20, 'c6gd.16xlarge_use1-az2': 50, 'c6gd.16xlarge_use1-az4': 25, 'c6gd.16xlarge_use1-az6': 50, 'c6gd.2xlarge_use1-az2': 50, 'c6gd.2xlarge_use1-az4': 50, 'c6gd.2xlarge_use1-az6': 50, 'c8g.12xlarge_use1-az5': 1, 'c8g.48xlarge_use1-az4': 5, 'c8g.metal-48xl_use1-az1': 1, 'c8g.metal-48xl_use1-az2': 1, 'c8g.metal-48xl_use1-az6': 50, 'g5g.16xlarge_use1-az4': 10, 'g5g.16xlarge_use1-az6': 30, 'm7g.16xlarge_use1-az5': 1, 'm8g.metal-48xl_use1-az4': 1, 'r6g.8xlarge_use1-az5': 30, 'r8g.48xlarge_use1-az4': 1}"
