pods,cpu,mem,alpha,cost,performance,perf_per_cost,actual_pods,excess_pods,iterations,explored_alphas,explored_podcount,nodepool_config,workload_intensity,execution_time
10,1,2,0.2361,0.0645,478632.211,7420654.4341,10.0,0.0,20,"[np.float64(0.3819660112501051), np.float64(0.6180339887498949), np.float64(0.2360679774997897), np.float64(0.1458980337503154), np.float64(0.29179606750063086), np.float64(0.20162612375115663), np.float64(0.25735421375199785), np.float64(0.2229123600033648), np.float64(0.244198596255573), np.float64(0.24922359499621452), np.float64(0.2410929762404312), np.float64(0.24611797498107266), np.float64(0.24301235496593082), np.float64(0.24493173369143043), np.float64(0.24538483754521523), np.float64(0.24566487112728783), np.float64(0.245211767273503), np.float64(0.2454918008555756), np.float64(0.2455579078169275), np.float64(0.24545094450656713), np.float64(0.24551705146791902), np.float64(0.24547619511891058)]","[6580.0, 575214.0, 10.0, 10.0, 2176.0, 10.0, 1454.0, 10.0, 10.0, 760.0, 10.0, 366.0, 10.0, 10.0, 10.0, 366.0, 10.0, 10.0, 366.0, 10.0, 174.0, 10.0]","[{'instance_type': 'm8a.large', 'availability_zone': 'us-east-1d', 'num_instances': 1, 'T3': 25.0}, {'instance_type': 'm8a.xlarge', 'availability_zone': 'us-east-1a', 'num_instances': 2, 'T3': 15.0}]",default,3780.9081
10,1,4,0.1459,0.0645,478632.211,7420654.4341,10.0,0.0,20,"[np.float64(0.3819660112501051), np.float64(0.6180339887498949), np.float64(0.2360679774997897), np.float64(0.1458980337503154), np.float64(0.09016994374947422), np.float64(0.18033988749894847), np.float64(0.20162612375115666), np.float64(0.16718427000252362), np.float64(0.18847050625473183), np.float64(0.1934955049953733), np.float64(0.19660112501051516), np.float64(0.1985205037360148), np.float64(0.19541488372087293), np.float64(0.19733426244637256), np.float64(0.19614802115673033), np.float64(0.19688115859258773), np.float64(0.1970542288643), np.float64(0.1967741952822274), np.float64(0.19694726555393965), np.float64(0.1969881219029481), np.float64(0.1969220149415962), np.float64(0.19696287129060464)]","[8646.0, 477167.0, 2176.0, 10.0, 10.0, 10.0, 860.0, 10.0, 10.0, 10.0, 10.0, 568.0, 10.0, 366.0, 10.0, 10.0, 366.0, 10.0, 10.0, 174.0, 10.0, 10.0]","[{'instance_type': 'm8a.large', 'availability_zone': 'us-east-1d', 'num_instances': 5, 'T3': 25.0}]",default,3597.4502
10,2,2,0.1459,0.129,478632.211,3710327.2171,10.0,0.0,20,"[np.float64(0.3819660112501051), np.float64(0.6180339887498949), np.float64(0.2360679774997897), np.float64(0.1458980337503154), np.float64(0.09016994374947422), np.float64(0.18033988749894847), np.float64(0.20162612375115666), np.float64(0.16718427000252362), np.float64(0.18847050625473183), np.float64(0.1934955049953733), np.float64(0.19660112501051516), np.float64(0.1985205037360148), np.float64(0.19541488372087293), np.float64(0.19733426244637256), np.float64(0.1977873663001574), np.float64(0.19806739988222996), np.float64(0.19824047015394222), np.float64(0.19796043657186962), np.float64(0.19813350684358189), np.float64(0.19817436319259032), np.float64(0.19819961380493378), np.float64(0.19821521954159876)]","[14220.0, 395396.0, 1013.0, 10.0, 10.0, 10.0, 355.0, 10.0, 10.0, 10.0, 10.0, 183.0, 10.0, 10.0, 10.0, 10.0, 183.0, 10.0, 10.0, 10.0, 10.0, 87.0]","[{'instance_type': 'm8a.large', 'availability_zone': 'us-east-1d', 'num_instances': 10, 'T3': 25.0}]",default,3968.3287
17,7,7,0.2361,0.8451,861537.9798,1019450.9286,18.0,1.0,20,"[np.float64(0.3819660112501051), np.float64(0.6180339887498949), np.float64(0.2360679774997897), np.float64(0.1458980337503154), np.float64(0.29179606750063086), np.float64(0.20162612375115663), np.float64(0.25735421375199785), np.float64(0.2705098312484227), np.float64(0.24922359499621452), np.float64(0.26237921249263935), np.float64(0.254248593736856), np.float64(0.2592735924774975), np.float64(0.2604598337671397), np.float64(0.2585404550416401), np.float64(0.2597266963312823), np.float64(0.2600067299133549), np.float64(0.26017980018506714), np.float64(0.26028676349542745), np.float64(0.26035287045677935), np.float64(0.2603937268057878), np.float64(0.26041897741813125), np.float64(0.2604345831547963)]","[664.0, 51106.0, 18.0, 17.0, 111.0, 17.0, 18.0, 36.0, 18.0, 27.0, 18.0, 18.0, 27.0, 18.0, 18.0, 18.0, 18.0, 18.0, 18.0, 18.0, 18.0, 27.0]","[{'instance_type': 'm8a.16xlarge', 'availability_zone': 'us-east-1d', 'num_instances': 1, 'T3': 1.0}, {'instance_type': 'm8a.16xlarge', 'availability_zone': 'us-east-1b', 'num_instances': 1, 'T3': 1.0}]",default,3852.8095
50,1,2,0.2016,0.3225,2393161.055,7420654.4341,50.0,0.0,20,"[np.float64(0.3819660112501051), np.float64(0.6180339887498949), np.float64(0.2360679774997897), np.float64(0.1458980337503154), np.float64(0.29179606750063086), np.float64(0.20162612375115663), np.float64(0.18033988749894844), np.float64(0.21478174124758148), np.float64(0.22291236000336484), np.float64(0.20975674250693999), np.float64(0.21788736126272334), np.float64(0.21980673998822298), np.float64(0.2167011199730811), np.float64(0.21862049869858075), np.float64(0.21907360255236558), np.float64(0.21834046511650818), np.float64(0.218793568970293), np.float64(0.21890053228065334), np.float64(0.21872746200894108), np.float64(0.21883442531930145), np.float64(0.21876831835794955), np.float64(0.218809174706958)]","[6580.0, 575214.0, 50.0, 50.0, 2176.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0]","[{'instance_type': 'm8a.large', 'availability_zone': 'us-east-1d', 'num_instances': 25, 'T3': 25.0}]",default,3991.58
50,1,4,0.0902,0.3225,2393161.055,7420654.4341,50.0,0.0,20,"[np.float64(0.3819660112501051), np.float64(0.6180339887498949), np.float64(0.2360679774997897), np.float64(0.1458980337503154), np.float64(0.09016994374947422), np.float64(0.05572809000084119), np.float64(0.11145618000168239), np.float64(0.12461179749810723), np.float64(0.13274241625389058), np.float64(0.13776741499453207), np.float64(0.1408730350096739), np.float64(0.14279241373517354), np.float64(0.14397865502481577), np.float64(0.14205927629931614), np.float64(0.14324551758895837), np.float64(0.14352555117103094), np.float64(0.1436986214427432), np.float64(0.14380558475310354), np.float64(0.14387169171445544), np.float64(0.14391254806346387), np.float64(0.14393779867580733), np.float64(0.1439534044124723)]","[8646.0, 477167.0, 2176.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0]","[{'instance_type': 'm8a.large', 'availability_zone': 'us-east-1d', 'num_instances': 25, 'T3': 25.0}]",default,3793.0261
50,2,2,0.1459,0.645,2393161.055,3710327.2171,50.0,0.0,20,"[np.float64(0.3819660112501051), np.float64(0.6180339887498949), np.float64(0.2360679774997897), np.float64(0.1458980337503154), np.float64(0.09016994374947422), np.float64(0.18033988749894847), np.float64(0.20162612375115666), np.float64(0.16718427000252362), np.float64(0.18847050625473183), np.float64(0.1934955049953733), np.float64(0.19660112501051516), np.float64(0.1985205037360148), np.float64(0.19541488372087293), np.float64(0.19733426244637256), np.float64(0.1977873663001574), np.float64(0.19806739988222996), np.float64(0.19824047015394222), np.float64(0.19796043657186962), np.float64(0.19813350684358189), np.float64(0.19817436319259032), np.float64(0.19819961380493378), np.float64(0.19821521954159876)]","[14220.0, 395396.0, 1013.0, 50.0, 50.0, 50.0, 355.0, 50.0, 50.0, 50.0, 50.0, 183.0, 50.0, 50.0, 50.0, 50.0, 183.0, 50.0, 50.0, 50.0, 50.0, 87.0]","[{'instance_type': 'm8a.16xlarge', 'availability_zone': 'us-east-1d', 'num_instances': 1, 'T3': 1.0}, {'instance_type': 'm8a.large', 'availability_zone': 'us-east-1d', 'num_instances': 18, 'T3': 25.0}]",default,4139.4339
75,3,5,0.1246,1.4734,3589741.5825,2436365.9444,75.0,0.0,20,"[np.float64(0.3819660112501051), np.float64(0.6180339887498949), np.float64(0.2360679774997897), np.float64(0.1458980337503154), np.float64(0.09016994374947422), np.float64(0.18033988749894847), np.float64(0.12461179749810725), np.float64(0.11145618000168239), np.float64(0.13274241625389058), np.float64(0.13776741499453207), np.float64(0.1408730350096739), np.float64(0.14279241373517354), np.float64(0.14397865502481577), np.float64(0.14471179246067317), np.float64(0.145164896314458), np.float64(0.14544492989653057), np.float64(0.14561800016824283), np.float64(0.14572496347860317), np.float64(0.14579107043995507), np.float64(0.14568410712959473), np.float64(0.14575021409094663), np.float64(0.1457658198276116)]","[40003.0, 286044.0, 670.0, 85.0, 75.0, 467.0, 75.0, 75.0, 75.0, 75.0, 75.0, 75.0, 75.0, 75.0, 75.0, 75.0, 75.0, 75.0, 85.0, 75.0, 75.0, 75.0]","[{'instance_type': 'm8a.4xlarge', 'availability_zone': 'us-east-1d', 'num_instances': 1, 'T3': 1.0}, {'instance_type': 'm8a.4xlarge', 'availability_zone': 'us-east-1a', 'num_instances': 1, 'T3': 1.0}, {'instance_type': 'm8a.metal-48xl', 'availability_zone': 'us-east-1b', 'num_instances': 1, 'T3': 1.0}, {'instance_type': 'm8a.xlarge', 'availability_zone': 'us-east-1a', 'num_instances': 1, 'T3': 15.0}]",default,4911.1294
100,1,2,0.2361,0.645,4786322.11,7420654.4341,100.0,0.0,20,"[np.float64(0.3819660112501051), np.float64(0.6180339887498949), np.float64(0.2360679774997897), np.float64(0.1458980337503154), np.float64(0.29179606750063086), np.float64(0.20162612375115663), np.float64(0.25735421375199785), np.float64(0.2229123600033648), np.float64(0.244198596255573), np.float64(0.24922359499621452), np.float64(0.2410929762404312), np.float64(0.24611797498107266), np.float64(0.24301235496593082), np.float64(0.24493173369143043), np.float64(0.24538483754521523), np.float64(0.24566487112728783), np.float64(0.245211767273503), np.float64(0.2454918008555756), np.float64(0.2455579078169275), np.float64(0.24545094450656713), np.float64(0.24551705146791902), np.float64(0.24547619511891058)]","[6580.0, 575214.0, 100.0, 100.0, 2176.0, 100.0, 1454.0, 100.0, 100.0, 760.0, 100.0, 366.0, 100.0, 100.0, 100.0, 366.0, 100.0, 100.0, 366.0, 100.0, 174.0, 100.0]","[{'instance_type': 'm8a.large', 'availability_zone': 'us-east-1d', 'num_instances': 20, 'T3': 25.0}, {'instance_type': 'm8a.xlarge', 'availability_zone': 'us-east-1a', 'num_instances': 15, 'T3': 15.0}]",default,3709.0744
100,1,4,0.1459,0.645,4786322.11,7420654.4341,100.0,0.0,20,"[np.float64(0.3819660112501051), np.float64(0.6180339887498949), np.float64(0.2360679774997897), np.float64(0.1458980337503154), np.float64(0.09016994374947422), np.float64(0.18033988749894847), np.float64(0.20162612375115666), np.float64(0.16718427000252362), np.float64(0.18847050625473183), np.float64(0.1934955049953733), np.float64(0.19660112501051516), np.float64(0.1985205037360148), np.float64(0.19541488372087293), np.float64(0.19733426244637256), np.float64(0.19614802115673033), np.float64(0.19688115859258773), np.float64(0.1970542288643), np.float64(0.1967741952822274), np.float64(0.19694726555393965), np.float64(0.1969881219029481), np.float64(0.1969220149415962), np.float64(0.19696287129060464)]","[8646.0, 477167.0, 2176.0, 100.0, 100.0, 100.0, 860.0, 100.0, 100.0, 100.0, 100.0, 568.0, 100.0, 366.0, 100.0, 100.0, 366.0, 100.0, 100.0, 174.0, 100.0, 100.0]","[{'instance_type': 'm8a.16xlarge', 'availability_zone': 'us-east-1d', 'num_instances': 1, 'T3': 1.0}, {'instance_type': 'm8a.large', 'availability_zone': 'us-east-1d', 'num_instances': 18, 'T3': 25.0}]",default,3667.8677
