pods,cpu,mem,golden_efficiency,greedy_efficiency,spotverse_node_efficiency,spotverse_pod_efficiency,spotkube_efficiency,golden_excess_pods,greedy_excess_pods,spotverse_node_excess_pods,spotverse_pod_excess_pods,spotkube_excess_pods
1,1,1,1071242.7,320651.3618295019,1071242.7,562531.3628571428,1071242.7,0.0,3.0,0.0,1.0,0.0
5,1,1,222714.61146067418,160325.68097461684,214248.5397894737,187510.45444444445,225522.83625730991,0.0,3.0,0.0,1.0,0.0
6,1,1,187510.45444444445,160325.68097461684,178540.44985380117,187510.45444444445,207281.74726522187,0.0,2.0,0.0,0.0,0.0
10,1,1,112506.27262857142,106883.78730310772,107124.26994736843,112506.27262857142,114434.43620178041,0.0,2.0,0.0,0.0,0.0
14,1,1,80361.62332361517,80162.84047234194,76517.33566058002,80361.62332361517,72405.74753162605,0.0,2.0,0.0,0.0,0.0
15,1,1,74745.95436868687,80162.84047234194,71416.17995321639,70316.4204017857,64679.97319552111,0.0,1.0,0.0,1.0,0.0
17,1,1,65978.98380877434,64130.27237547892,63014.27643416499,62503.484814814816,52857.974113639495,0.0,3.0,0.0,1.0,0.0
20,1,1,56253.136328571425,64130.27237547892,53562.13496052632,56253.136328571425,21510.52855743544,0.0,0.0,0.0,0.0,0.0
25,1,1,44909.33543507973,45807.337413988585,42849.70796631579,43271.64333051564,26260.231417124203,0.0,3.0,0.0,1.0,0.0
30,1,1,37502.090882539684,40081.42023617097,35708.08997660819,37502.090882539684,19127.004359580937,0.0,2.0,0.0,0.0,0.0
35,1,1,32097.065314099582,35627.92909807956,30606.934264232008,31251.742402998236,12536.665156758203,0.0,1.0,0.0,1.0,0.0
40,1,1,28126.568164285713,32065.136190134097,26781.06748026316,28126.568164285713,12164.16056764949,0.0,0.0,0.0,0.0,0.0
45,1,1,24972.592893958597,26720.946824113984,23805.393317738788,24457.8853605185,9072.181758435521,0.0,3.0,0.0,1.0,0.0
50,1,1,22501.254530285714,24665.489377167927,21424.85398526316,22501.254530285714,8903.33238905167,0.0,2.0,0.0,0.0,0.0
