pods,cpu,mem,golden_efficiency,greedy_efficiency,spotverse_node_efficiency,spotverse_pod_efficiency,spotkube_efficiency,golden_excess_pods,greedy_excess_pods,spotverse_node_excess_pods,spotverse_pod_excess_pods,spotkube_excess_pods
1,1,1,1049155.2216494845,317609.12879506644,1049155.2216494845,580784.592920354,1049155.2216494845,0.0,3.0,0.0,1.0,0.0
5,1,1,227311.93142201836,158804.56445683114,209831.04412371136,193594.86447066537,128390.61117647059,0.0,3.0,0.0,1.0,0.0
6,1,1,193594.86447066537,158804.56445683114,174859.203465063,193594.86447066537,195314.57639821034,0.0,2.0,0.0,0.0,0.0
10,1,1,116156.91864306784,105869.70962471011,104915.52211340207,116156.91864306784,114307.23971841423,0.0,2.0,0.0,0.0,0.0
14,1,1,82969.22762025165,79402.28221359108,74939.65863665054,82969.22762025165,57657.778276145626,0.0,2.0,0.0,0.0,0.0
15,1,1,76871.56974418907,79402.28221359108,69943.68139747997,72598.0741611357,54430.46198278716,0.0,1.0,0.0,1.0,0.0
17,1,1,67886.15333387311,63521.82576850094,61715.01300253273,64531.62149022179,32170.256056146707,0.0,3.0,0.0,1.0,0.0
20,1,1,58078.45933628318,63521.82576850094,52457.76104381443,58078.45933628318,27570.62019660411,0.0,0.0,0.0,0.0,0.0
25,1,1,46258.09069920225,45372.73269469078,41966.208832989694,44675.7379518598,19646.674030428767,0.0,3.0,0.0,1.0,0.0
30,1,1,38718.972887577846,39701.14110679554,34971.84069873999,38718.972887577846,15896.419907630523,0.0,2.0,0.0,0.0,0.0
35,1,1,33083.09233314948,35289.90320530841,29975.863454660215,32265.810740558652,14444.259922316905,0.0,1.0,0.0,1.0,0.0
40,1,1,29039.22966814159,31760.912886622387,26228.880521907216,29039.22966814159,10245.366179171038,0.0,0.0,0.0,0.0,0.0
45,1,1,25749.314941627465,26467.427404530365,23314.560465826653,25251.504059532374,7976.260637856743,0.0,3.0,0.0,1.0,0.0
50,1,1,23231.383733333332,24431.471451388345,20983.1044185567,23231.383733333332,8517.579283095114,0.0,2.0,0.0,0.0,0.0
