instance_type,availability_zone,num_instances,T3,pods,cpu,mem,actual_pods,excess_pods,cost,performance,total_cost_per_pod,nodes_used,efficiency
t2.small,us-west-2c,10,50.0,10,1,2,10.0,0.0,0.062,217721.9514,0.0062,10,351164.4378
t2.medium,us-west-2c,10,50.0,10,1,4,10.0,0.0,0.137,217721.9514,0.0137,10,158921.1324
m8g.large,us-west-2d,10,50.0,10,2,2,10.0,0.0,0.276,309744.592,0.0276,10,112226.3014
t3.2xlarge,us-west-2d,17,50.0,17,7,7,17.0,0.0,1.6456,346011.3919,0.0968,17,12368.5047
t2.small,us-west-2c,50,50.0,50,1,2,50.0,0.0,0.31,1088609.7571,0.0062,50,70232.8876
t2.medium,us-west-2c,50,50.0,50,1,4,50.0,0.0,0.685,1088609.7571,0.0137,50,31784.2265
m8g.large,us-west-2d,50,50.0,50,2,2,50.0,0.0,1.38,1548722.96,0.0276,50,22445.2603
c7i-flex.xlarge,us-west-2d,75,20.0,75,3,5,75.0,0.0,3.7125,2328599.6786,0.0495,75,8363.0965
t2.small,us-west-2c,100,50.0,100,1,2,100.0,0.0,0.62,2177219.5143,0.0062,100,35116.4438
t2.medium,us-west-2c,100,50.0,100,1,4,100.0,0.0,1.37,2177219.5143,0.0137,100,15892.1132
m8g.large,us-west-2d,100,50.0,100,2,2,100.0,0.0,2.76,3097445.92,0.0276,100,11222.6301
c7i-flex.xlarge,us-west-2d,115,20.0,115,4,2,115.0,0.0,5.6925,3570519.5071,0.0495,115,5454.1934
r7g.medium,us-west-2d,287,50.0,287,1,6,287.0,0.0,4.592,7323745.212,0.016,287,5557.1159
t2.small,us-west-2c,400,50.0,400,1,2,400.0,0.0,2.48,8708878.0571,0.0062,400,8779.1109
t2.medium,us-west-2c,400,50.0,400,1,4,400.0,0.0,5.48,8708878.0571,0.0137,400,3973.0283
m8g.large,us-west-2d,400,50.0,400,2,2,400.0,0.0,11.04,12389783.68,0.0276,400,2805.6575
x2gd.medium,us-west-2a,439,50.0,439,1,9,439.0,0.0,9.5263,8688468.3354,0.0217,439,2077.5642
t2.small,us-west-2c,1000,50.0,1000,1,2,1000.0,0.0,6.2,21772195.1429,0.0062,1000,3511.6444
t2.medium,us-west-2c,1000,50.0,1000,1,4,1000.0,0.0,13.7,21772195.1429,0.0137,1000,1589.2113
m8g.large,us-west-2d,1000,50.0,1000,2,2,1000.0,0.0,27.6,30974459.2,0.0276,1000,1122.263
