pods,cpu,mem,actual_pods,excess_pods,Total Assigned Instances,Total Assignable Pods,Total CPU,Total Memory,cost,performance,nodepool_config
10,1,2,192.0,182.0,1,192.0,192.0,768.0,1.7901,9189738.4512,"[{'instance_type': 'm8a.48xlarge', 'availability_zone': 'apne1-az4', 'num_instances': 1, 'T3': 1.0}]"
10,1,4,192.0,182.0,1,192.0,192.0,768.0,1.7901,9189738.4512,"[{'instance_type': 'm8a.48xlarge', 'availability_zone': 'apne1-az4', 'num_instances': 1, 'T3': 1.0}]"
10,2,2,96.0,86.0,1,96.0,192.0,768.0,1.7901,4594869.2256,"[{'instance_type': 'm8a.48xlarge', 'availability_zone': 'apne1-az4', 'num_instances': 1, 'T3': 1.0}]"
17,7,7,27.0,10.0,1,27.0,192.0,768.0,1.7901,1292306.9697,"[{'instance_type': 'm8a.48xlarge', 'availability_zone': 'apne1-az4', 'num_instances': 1, 'T3': 1.0}]"
50,1,2,192.0,142.0,1,192.0,192.0,768.0,1.7901,9189738.4512,"[{'instance_type': 'm8a.48xlarge', 'availability_zone': 'apne1-az4', 'num_instances': 1, 'T3': 1.0}]"
50,1,4,192.0,142.0,1,192.0,192.0,768.0,1.7901,9189738.4512,"[{'instance_type': 'm8a.48xlarge', 'availability_zone': 'apne1-az4', 'num_instances': 1, 'T3': 1.0}]"
50,2,2,96.0,46.0,1,96.0,192.0,768.0,1.7901,4594869.2256,"[{'instance_type': 'm8a.48xlarge', 'availability_zone': 'apne1-az4', 'num_instances': 1, 'T3': 1.0}]"
75,3,5,128.0,53.0,2,128.0,384.0,1536.0,3.582,6126492.3008,"[{'instance_type': 'm8a.48xlarge', 'availability_zone': 'apne1-az4', 'num_instances': 1, 'T3': 1.0}, {'instance_type': 'm8a.48xlarge', 'availability_zone': 'apne1-az1', 'num_instances': 1, 'T3': 1.0}]"
100,1,2,192.0,92.0,1,192.0,192.0,768.0,1.7901,9189738.4512,"[{'instance_type': 'm8a.48xlarge', 'availability_zone': 'apne1-az4', 'num_instances': 1, 'T3': 1.0}]"
100,1,4,192.0,92.0,1,192.0,192.0,768.0,1.7901,9189738.4512,"[{'instance_type': 'm8a.48xlarge', 'availability_zone': 'apne1-az4', 'num_instances': 1, 'T3': 1.0}]"
100,2,2,192.0,92.0,2,192.0,384.0,1536.0,3.582,9189738.4512,"[{'instance_type': 'm8a.48xlarge', 'availability_zone': 'apne1-az4', 'num_instances': 1, 'T3': 1.0}, {'instance_type': 'm8a.48xlarge', 'availability_zone': 'apne1-az1', 'num_instances': 1, 'T3': 1.0}]"
115,4,2,118.0,3.0,9,118.0,472.0,1888.0,4.4166,5647860.0898,"[{'instance_type': 'm8a.48xlarge', 'availability_zone': 'apne1-az4', 'num_instances': 1, 'T3': 1.0}, {'instance_type': 'm8a.48xlarge', 'availability_zone': 'apne1-az1', 'num_instances': 1, 'T3': 1.0}, {'instance_type': 'm8a.2xlarge', 'availability_zone': 'apne1-az4', 'num_instances': 5, 'T3': 5.0}, {'instance_type': 'm8a.8xlarge', 'availability_zone': 'apne1-az4', 'num_instances': 1, 'T3': 1.0}, {'instance_type': 'm8a.4xlarge', 'availability_zone': 'apne1-az2', 'num_instances': 1, 'T3': 5.0}]"
