pods,cpu,mem,actual_pods,excess_pods,Total Assigned Instances,Total Assignable Pods,Total CPU,Total Memory,cost,performance,nodepool_config
1,1,1,2.0,1.0,1,2.0,2.0,4.0,0.0317,66952.0044,"[{'instance_type': 'c7a.large', 'availability_zone': 'usw2-az4', 'num_instances': 1, 'T3': 35.0}]"
5,1,1,6.0,1.0,3,6.0,6.0,12.0,0.0951,200856.0131,"[{'instance_type': 'c7a.large', 'availability_zone': 'usw2-az4', 'num_instances': 3, 'T3': 35.0}]"
6,1,1,6.0,0.0,3,6.0,6.0,12.0,0.0951,200856.0131,"[{'instance_type': 'c7a.large', 'availability_zone': 'usw2-az4', 'num_instances': 3, 'T3': 35.0}]"
10,1,1,10.0,0.0,5,10.0,10.0,20.0,0.1585,334760.0218,"[{'instance_type': 'c7a.large', 'availability_zone': 'usw2-az4', 'num_instances': 5, 'T3': 35.0}]"
14,1,1,14.0,0.0,7,14.0,14.0,28.0,0.2219,468664.0305,"[{'instance_type': 'c7a.large', 'availability_zone': 'usw2-az4', 'num_instances': 7, 'T3': 35.0}]"
15,1,1,16.0,1.0,8,16.0,16.0,32.0,0.2536,535616.0349,"[{'instance_type': 'c7a.large', 'availability_zone': 'usw2-az4', 'num_instances': 8, 'T3': 35.0}]"
17,1,1,18.0,1.0,9,18.0,18.0,36.0,0.2853,602568.0393,"[{'instance_type': 'c7a.large', 'availability_zone': 'usw2-az4', 'num_instances': 9, 'T3': 35.0}]"
20,1,1,20.0,0.0,10,20.0,20.0,40.0,0.317,669520.0436,"[{'instance_type': 'c7a.large', 'availability_zone': 'usw2-az4', 'num_instances': 10, 'T3': 35.0}]"
25,1,1,26.0,1.0,13,26.0,26.0,52.0,0.4121,870376.0567,"[{'instance_type': 'c7a.large', 'availability_zone': 'usw2-az4', 'num_instances': 13, 'T3': 35.0}]"
30,1,1,30.0,0.0,15,30.0,30.0,60.0,0.4755,1004280.0655,"[{'instance_type': 'c7a.large', 'availability_zone': 'usw2-az4', 'num_instances': 15, 'T3': 35.0}]"
35,1,1,36.0,1.0,18,36.0,36.0,72.0,0.5706,1205136.0785,"[{'instance_type': 'c7a.large', 'availability_zone': 'usw2-az4', 'num_instances': 18, 'T3': 35.0}]"
40,1,1,40.0,0.0,20,40.0,40.0,80.0,0.634,1339040.0873,"[{'instance_type': 'c7a.large', 'availability_zone': 'usw2-az4', 'num_instances': 20, 'T3': 35.0}]"
45,1,1,46.0,1.0,23,46.0,46.0,92.0,0.7291,1539896.1004,"[{'instance_type': 'c7a.large', 'availability_zone': 'usw2-az4', 'num_instances': 23, 'T3': 35.0}]"
50,1,1,50.0,0.0,25,50.0,50.0,100.0,0.7925,1673800.1091,"[{'instance_type': 'c7a.large', 'availability_zone': 'usw2-az4', 'num_instances': 25, 'T3': 35.0}]"
