InstanceType,Region,AZ,SPS,T3,T2,IF,OndemandPrice,SpotPrice,Savings,InstanceFamily,InstanceCategory,InstanceCharacter,vCPU,Memory,CoreMark,CpuModel,ModelName,Vendor
c4.2xlarge,us-west-2,usw2-az1,3,15.0,25.0,1.5,0.398,0.1506,62,c4,Computing,c,8.0,15.0,24154.71519,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,Intel
c4.2xlarge,us-west-2,usw2-az2,3,10.0,10.0,1.5,0.398,0.1527,61,c4,Computing,c,8.0,15.0,24154.71519,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,Intel
c4.2xlarge,us-west-2,usw2-az3,3,5.0,10.0,1.5,0.398,0.1559,60,c4,Computing,c,8.0,15.0,24154.71519,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,Intel
c4.4xlarge,us-west-2,usw2-az1,3,10.0,15.0,1.0,0.796,0.3334,58,c4,Computing,c,16.0,30.0,24157.426562800003,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,Intel
c4.4xlarge,us-west-2,usw2-az2,3,20.0,20.0,1.0,0.796,0.3295,58,c4,Computing,c,16.0,30.0,24157.426562800003,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,Intel
c4.4xlarge,us-west-2,usw2-az3,3,10.0,20.0,1.0,0.796,0.3321,58,c4,Computing,c,16.0,30.0,24157.426562800003,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,Intel
c4.8xlarge,us-west-2,usw2-az1,3,5.0,5.0,1.0,1.591,0.6433,59,c4,Computing,c,32.0,60.0,24066.19746,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,Intel
c4.8xlarge,us-west-2,usw2-az2,3,5.0,5.0,1.0,1.591,0.6331,60,c4,Computing,c,32.0,60.0,24066.19746,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,Intel
c4.8xlarge,us-west-2,usw2-az3,3,5.0,10.0,1.0,1.591,0.6324,60,c4,Computing,c,32.0,60.0,24066.19746,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,Intel
c4.large,us-west-2,usw2-az1,3,50.0,50.0,1.0,0.1,0.0424,57,c4,Computing,c,2.0,3.0,24008.115126800003,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,Intel
