pods,cpu,mem,actual_pods,excess_pods,Total Assigned Instances,Total Assignable Pods,Total CPU,Total Memory,cost,performance,nodepool_config
10,1,2,16.0,6.0,2,16.0,16.0,32.0,0.0614,314858.16,"[{'instance_type': 'c6gd.2xlarge', 'availability_zone': 'use1-az6', 'num_instances': 2, 'T3': 50.0}]"
10,1,4,192.0,182.0,1,192.0,192.0,768.0,1.4268,5947096.1664,"[{'instance_type': 'm8g.metal-48xl', 'availability_zone': 'use1-az4', 'num_instances': 1, 'T3': 1.0}]"
10,2,2,12.0,2.0,3,12.0,24.0,48.0,0.0921,236143.62,"[{'instance_type': 'c6gd.2xlarge', 'availability_zone': 'use1-az6', 'num_instances': 3, 'T3': 50.0}]"
17,7,7,18.0,1.0,2,18.0,128.0,256.0,0.5488,354613.8024,"[{'instance_type': 'g5g.16xlarge', 'availability_zone': 'use1-az4', 'num_instances': 2, 'T3': 10.0}]"
50,1,2,56.0,6.0,7,56.0,56.0,112.0,0.2149,1102003.56,"[{'instance_type': 'c6gd.2xlarge', 'availability_zone': 'use1-az6', 'num_instances': 7, 'T3': 50.0}]"
50,1,4,192.0,142.0,1,192.0,192.0,768.0,1.4268,5947096.1664,"[{'instance_type': 'm8g.metal-48xl', 'availability_zone': 'use1-az4', 'num_instances': 1, 'T3': 1.0}]"
50,2,2,52.0,2.0,13,52.0,104.0,208.0,0.3991,1023289.02,"[{'instance_type': 'c6gd.2xlarge', 'availability_zone': 'use1-az6', 'num_instances': 13, 'T3': 50.0}]"
75,3,5,84.0,9.0,4,84.0,256.0,512.0,1.0976,1654864.4112,"[{'instance_type': 'g5g.16xlarge', 'availability_zone': 'use1-az4', 'num_instances': 4, 'T3': 10.0}]"
100,1,2,104.0,4.0,13,104.0,104.0,208.0,0.3991,2046578.04,"[{'instance_type': 'c6gd.2xlarge', 'availability_zone': 'use1-az6', 'num_instances': 13, 'T3': 50.0}]"
100,1,4,192.0,92.0,1,192.0,192.0,768.0,1.4268,5947096.1664,"[{'instance_type': 'm8g.metal-48xl', 'availability_zone': 'use1-az4', 'num_instances': 1, 'T3': 1.0}]"
100,2,2,100.0,0.0,25,100.0,200.0,400.0,0.7675,1967863.5,"[{'instance_type': 'c6gd.2xlarge', 'availability_zone': 'use1-az6', 'num_instances': 25, 'T3': 50.0}]"
115,4,2,116.0,1.0,58,116.0,464.0,928.0,1.7974,2282721.66,"[{'instance_type': 'c6gd.2xlarge', 'availability_zone': 'use1-az6', 'num_instances': 50, 'T3': 50.0}, {'instance_type': 'c6gd.2xlarge', 'availability_zone': 'use1-az2', 'num_instances': 8, 'T3': 50.0}]"
287,1,6,288.0,1.0,9,288.0,288.0,2304.0,1.5615,5652293.22,"[{'instance_type': 'r6g.8xlarge', 'availability_zone': 'use1-az5', 'num_instances': 9, 'T3': 25.0}]"
400,1,2,400.0,0.0,50,400.0,400.0,800.0,1.535,7871454.0,"[{'instance_type': 'c6gd.2xlarge', 'availability_zone': 'use1-az6', 'num_instances': 50, 'T3': 50.0}]"
400,1,4,416.0,16.0,8,416.0,416.0,2560.0,2.6413,10343324.2264,"[{'instance_type': 'm8g.metal-48xl', 'availability_zone': 'use1-az4', 'num_instances': 1, 'T3': 1.0}, {'instance_type': 'r6g.8xlarge', 'availability_zone': 'use1-az5', 'num_instances': 7, 'T3': 25.0}]"
400,2,2,400.0,0.0,100,400.0,800.0,1600.0,3.175,7871454.0,"[{'instance_type': 'c6gd.2xlarge', 'availability_zone': 'use1-az6', 'num_instances': 50, 'T3': 50.0}, {'instance_type': 'c6gd.2xlarge', 'availability_zone': 'use1-az2', 'num_instances': 50, 'T3': 50.0}]"
439,1,9,450.0,11.0,11,450.0,512.0,4096.0,3.3846,10767950.471,"[{'instance_type': 'r8g.48xlarge', 'availability_zone': 'use1-az4', 'num_instances': 1, 'T3': 1.0}, {'instance_type': 'r6g.8xlarge', 'availability_zone': 'use1-az5', 'num_instances': 10, 'T3': 25.0}]"
1000,1,2,1000.0,0.0,125,1000.0,1000.0,2000.0,4.0275,19678635.0,"[{'instance_type': 'c6gd.2xlarge', 'availability_zone': 'use1-az6', 'num_instances': 50, 'T3': 50.0}, {'instance_type': 'c6gd.2xlarge', 'availability_zone': 'use1-az2', 'num_instances': 50, 'T3': 50.0}, {'instance_type': 'c6gd.2xlarge', 'availability_zone': 'use1-az4', 'num_instances': 25, 'T3': 50.0}]"
1000,1,4,1184.0,184.0,27,1184.0,1184.0,8704.0,7.4139,27602920.996,"[{'instance_type': 'm8g.metal-48xl', 'availability_zone': 'use1-az4', 'num_instances': 1, 'T3': 1.0}, {'instance_type': 'r6g.8xlarge', 'availability_zone': 'use1-az5', 'num_instances': 25, 'T3': 25.0}, {'instance_type': 'r8g.48xlarge', 'availability_zone': 'use1-az4', 'num_instances': 1, 'T3': 1.0}]"
1000,2,2,1016.0,16.0,163,1016.0,2032.0,4064.0,8.5084,20002699.9888,"[{'instance_type': 'c6gd.2xlarge', 'availability_zone': 'use1-az6', 'num_instances': 50, 'T3': 50.0}, {'instance_type': 'c6gd.2xlarge', 'availability_zone': 'use1-az2', 'num_instances': 50, 'T3': 50.0}, {'instance_type': 'c6gd.2xlarge', 'availability_zone': 'use1-az4', 'num_instances': 50, 'T3': 50.0}, {'instance_type': 'g5g.16xlarge', 'availability_zone': 'use1-az4', 'num_instances': 10, 'T3': 10.0}, {'instance_type': 'g5g.16xlarge', 'availability_zone': 'use1-az6', 'num_instances': 3, 'T3': 25.0}]"
