pods,cpu,mem,actual_pods,excess_pods,Total Assigned Instances,Total Assignable Pods,Total CPU,Total Memory,cost,performance,nodepool_config
10,1,2,192.0,182.0,1,192.0,192.0,768.0,1.7047,9189738.4512,"[{'instance_type': 'm8a.48xlarge', 'availability_zone': 'apne1-az1', 'num_instances': 1, 'T3': 1.0}]"
10,1,4,192.0,182.0,1,192.0,192.0,768.0,1.7047,9189738.4512,"[{'instance_type': 'm8a.48xlarge', 'availability_zone': 'apne1-az1', 'num_instances': 1, 'T3': 1.0}]"
10,2,2,96.0,86.0,1,96.0,192.0,768.0,1.7047,4594869.2256,"[{'instance_type': 'm8a.48xlarge', 'availability_zone': 'apne1-az1', 'num_instances': 1, 'T3': 1.0}]"
17,7,7,27.0,10.0,1,27.0,192.0,768.0,1.7047,1292306.9697,"[{'instance_type': 'm8a.48xlarge', 'availability_zone': 'apne1-az1', 'num_instances': 1, 'T3': 1.0}]"
50,1,2,192.0,142.0,1,192.0,192.0,768.0,1.7047,9189738.4512,"[{'instance_type': 'm8a.48xlarge', 'availability_zone': 'apne1-az1', 'num_instances': 1, 'T3': 1.0}]"
50,1,4,192.0,142.0,1,192.0,192.0,768.0,1.7047,9189738.4512,"[{'instance_type': 'm8a.48xlarge', 'availability_zone': 'apne1-az1', 'num_instances': 1, 'T3': 1.0}]"
50,2,2,96.0,46.0,1,96.0,192.0,768.0,1.7047,4594869.2256,"[{'instance_type': 'm8a.48xlarge', 'availability_zone': 'apne1-az1', 'num_instances': 1, 'T3': 1.0}]"
75,3,5,128.0,53.0,2,128.0,384.0,1536.0,3.4405,6126492.3008,"[{'instance_type': 'm8a.48xlarge', 'availability_zone': 'apne1-az1', 'num_instances': 1, 'T3': 1.0}, {'instance_type': 'm8a.48xlarge', 'availability_zone': 'apne1-az4', 'num_instances': 1, 'T3': 1.0}]"
100,1,2,192.0,92.0,1,192.0,192.0,768.0,1.7047,9189738.4512,"[{'instance_type': 'm8a.48xlarge', 'availability_zone': 'apne1-az1', 'num_instances': 1, 'T3': 1.0}]"
100,1,4,192.0,92.0,1,192.0,192.0,768.0,1.7047,9189738.4512,"[{'instance_type': 'm8a.48xlarge', 'availability_zone': 'apne1-az1', 'num_instances': 1, 'T3': 1.0}]"
100,2,2,100.0,0.0,2,100.0,200.0,800.0,1.7762,4786322.11,"[{'instance_type': 'm8a.48xlarge', 'availability_zone': 'apne1-az1', 'num_instances': 1, 'T3': 1.0}, {'instance_type': 'm8a.2xlarge', 'availability_zone': 'apne1-az4', 'num_instances': 1, 'T3': 1.0}]"
115,4,2,126.0,11.0,5,126.0,504.0,2016.0,4.529,6030765.8586,"[{'instance_type': 'm8a.48xlarge', 'availability_zone': 'apne1-az1', 'num_instances': 1, 'T3': 1.0}, {'instance_type': 'm8a.2xlarge', 'availability_zone': 'apne1-az4', 'num_instances': 1, 'T3': 1.0}, {'instance_type': 'm8a.48xlarge', 'availability_zone': 'apne1-az4', 'num_instances': 1, 'T3': 1.0}, {'instance_type': 'm8a.4xlarge', 'availability_zone': 'apne1-az2', 'num_instances': 1, 'T3': 1.0}, {'instance_type': 'm8a.metal-24xl', 'availability_zone': 'apne1-az4', 'num_instances': 1, 'T3': 1.0}]"
287,1,6,320.0,33.0,3,320.0,480.0,1920.0,4.3124,15316230.752,"[{'instance_type': 'm8a.48xlarge', 'availability_zone': 'apne1-az1', 'num_instances': 1, 'T3': 1.0}, {'instance_type': 'm8a.48xlarge', 'availability_zone': 'apne1-az4', 'num_instances': 1, 'T3': 1.0}, {'instance_type': 'm8a.metal-24xl', 'availability_zone': 'apne1-az4', 'num_instances': 1, 'T3': 1.0}]"
400,1,2,408.0,8.0,4,408.0,408.0,1632.0,3.6571,19528194.2088,"[{'instance_type': 'm8a.48xlarge', 'availability_zone': 'apne1-az1', 'num_instances': 1, 'T3': 1.0}, {'instance_type': 'm8a.2xlarge', 'availability_zone': 'apne1-az4', 'num_instances': 1, 'T3': 1.0}, {'instance_type': 'm8a.48xlarge', 'availability_zone': 'apne1-az4', 'num_instances': 1, 'T3': 1.0}, {'instance_type': 'm8a.4xlarge', 'availability_zone': 'apne1-az2', 'num_instances': 1, 'T3': 1.0}]"
400,1,4,408.0,8.0,4,408.0,408.0,1632.0,3.6571,19528194.2088,"[{'instance_type': 'm8a.48xlarge', 'availability_zone': 'apne1-az1', 'num_instances': 1, 'T3': 1.0}, {'instance_type': 'm8a.2xlarge', 'availability_zone': 'apne1-az4', 'num_instances': 1, 'T3': 1.0}, {'instance_type': 'm8a.48xlarge', 'availability_zone': 'apne1-az4', 'num_instances': 1, 'T3': 1.0}, {'instance_type': 'm8a.4xlarge', 'availability_zone': 'apne1-az2', 'num_instances': 1, 'T3': 1.0}]"
